sku,Collection,Type,Handle,Variant Name,Variant Price,In Stock,URL,Image Src,Body
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 10 - Secret Garden,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-10B-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 10 - Secret Garden,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-10C-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 10 - Secret Garden,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d10-800x1167.jpg?v=1571438799,
Design 2 - Ornamental Brocade,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 2 - Ornamental Brocade,Default Title,3025.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-2-ornamental-brocade,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-2-800x1167.jpg?v=1571438798,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td>Brand</td><td>Adamjee Lawn (100% Original)</td></tr><tr><td>Fabric</td><td>Cambric Shirt<br>Embroidered Neckline<br>Embroidered Organza Daman<br>Embroidered Patti<br>Embroidered Organza Patti For Trouser<br>Silk Dupatta 2.5m<br>Dyed Trouser</td></tr><tr><td>Size</td><td>Free Size – Unstitched</td></tr><tr><td><span>100% Original</span></td><td><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 2 - Ornamental Brocade,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-2B-800x1167.jpg?v=1571438798,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 2 - Ornamental Brocade,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d02-800x1167.jpg?v=1571438798,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 2 - Ornamental Brocade,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-2C-800x1167.jpg?v=1571438798,
16 -Design 1 - Tree Of Life,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 1 - Tree Of Life,Default Title,3025.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-1-tree-of-life,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-1C-800x1167.jpg?v=1571438798,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td>Brand</td><td>Adamjee Lawn (100% Original)</td></tr><tr><td>Fabric</td><td>Cambric Shirt<br>Embroidered Neckline<br>Embroidered Organza Daman<br>Embroidered Patti<br>Embroidered Organza Patti For Trouser<br>Silk Dupatta 2.5m<br>Dyed Trouser</td></tr><tr><td>Size</td><td>Free Size – Unstitched</td></tr><tr><td><span>100% Original</span></td><td><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 1 - Tree Of Life,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-1B-800x1167.jpg?v=1571438798,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 1 - Tree Of Life,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-1-800x1167.jpg?v=1571438798,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 1 - Tree Of Life,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d01-800x1167.jpg?v=1571438798,
16 -Design 3 - Rose Romance,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 3 - Rose Romance,Default Title,3025.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-3-rose-romance,https://cdn.shopify.com/s/files/1/0666/3041/products/d03-800x1167.jpg?v=1571438798,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Front Embroidered<br>Embroidered Organza Motif<br>Dyed Trouser 2.5m<br>Silk Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 3 - Rose Romance,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d03-back-800x1167.jpg?v=1571438798,
16 -Design 4 - Pink Rosette,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 4 - Pink Rosette,Default Title,3025.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-4-pink-rosette,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-4C-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Full Front Embroidered<br>Embroidered Patti<br>Printed Trouser 2.5m<br>Silk Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 4 - Pink Rosette,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d04-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 4 - Pink Rosette,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-4-800x1167.jpg?v=1571438799,
